Battelle Memorial Institute	https://arpa-e.energy.gov/?q=slick-sheet-project/cascade-reverse-osmosis-air-conditioning-system	Cascade Reverse Osmosis Air Conditioning System	Columbus, OH	$400,000	ALUMNI
Battelle Memorial Institute	https://arpa-e.energy.gov/?q=slick-sheet-project/optical-fault-sensors-lithium-ion-batteries	Optical Fault Sensors for Lithium-Ion Batteries	Columbus, OH	$948,261	ALUMNI
Beacon Power	https://arpa-e.energy.gov/?q=slick-sheet-project/next-generation-flywheel-energy-storage	Next-Generation Flywheel Energy Storage	Tyngsboro, MA	$4,245,875	CANCELLED
Bettergy	https://arpa-e.energy.gov/?q=slick-sheet-project/beyond-lithium-ion-solid-state-battery	Beyond Lithium-Ion Solid-State Battery	Peekskill, NY	$587,564	ALUMNI
Bettergy Corp.	https://arpa-e.energy.gov/?q=slick-sheet-project/more-information-bettergys-project-coming-soon	More information on Bettergy's project is coming soon!	Peekskill, NY	$1,524,606	ACTIVE
Bigwood	https://arpa-e.energy.gov/?q=slick-sheet-project/global-optimal-power-flow-g-opf	Global-Optimal Power Flow (G-OPF)	ITHACA, NY	$420,723	ALUMNI
Bio Architecture Lab	https://arpa-e.energy.gov/?q=slick-sheet-project/macroalgae-butanol	Macroalgae Butanol	Berkeley, CA	$9,003,198	ALUMNI
Bio2Electric	https://arpa-e.energy.gov/?q=slick-sheet-project/electrogenerative-gas-liquid-reactor	Electrogenerative Gas-to-Liquid Reactor	Monmouth Junction, NJ	$4,665,228	ACTIVE
Blackpak	https://arpa-e.energy.gov/?q=slick-sheet-project/sorbent-based-natural-gas-tank	Sorbent-Based Natural Gas Tank	San Francisco, CA	$5,475,000	ALUMNI
BlazeTech	https://arpa-e.energy.gov/?q=slick-sheet-project/specialized-imaging-system-light-metal-sorting	Specialized Imaging System for Light Metal Sorting	Woburn, MA	$274,025	ALUMNI
Boeing	https://arpa-e.energy.gov/?q=slick-sheet-project/advanced-flywheel-composite-rotors	Advanced Flywheel Composite Rotors	Chicago, IL	$2,264,090	ALUMNI
Boston Electrometallurgical Corporation	https://arpa-e.energy.gov/?q=slick-sheet-project/high-efficiency-titanium-production	High-Efficiency Titanium Production	Woburn, MA	$2,279,027	ACTIVE
Boston University (BU)	https://arpa-e.energy.gov/?q=slick-sheet-project/decision-support-software-grid-operators	Decision-Support Software for Grid Operators	Boston, MA	$2,361,591	ALUMNI
Brayton Energy 	https://arpa-e.energy.gov/?q=slick-sheet-project/1kw-recuperated-brayton-cycle-engine	1kW Recuperated Brayton-Cycle Engine	Hampton, NH	$2,399,992	ACTIVE
Bridger Photonics, Inc (Bridger) 	https://arpa-e.energy.gov/?q=slick-sheet-project/mobile-methane-sensing-system	Mobile Methane Sensing System	Bozeman, MT	$2,296,529	ACTIVE
Brookhaven National Laboratory	https://arpa-e.energy.gov/?q=slick-sheet-project/improved-superconducting-wire-wind-generators	Improved Superconducting Wire for Wind Generators	Upton , NY	$2,517,329	ALUMNI
Brown University	https://arpa-e.energy.gov/?q=slick-sheet-project/customized-tidal-power-conversion-devices	Customized Tidal Power Conversion Devices	Providence, RI	$3,808,365	ALUMNI
Cadenza	https://arpa-e.energy.gov/?q=slick-sheet-project/low-cost-electric-vehicle-battery-architecture	Low-Cost Electric Vehicle Battery Architecture	Wilton, CT	$3,995,980	ACTIVE
California Institute of Technology (Caltech) 	https://arpa-e.energy.gov/?q=slick-sheet-project/acoustic-wave-enhanced-catalysis	Acoustic Wave Enhanced Catalysis	Pasadena, CA	$425,000	ACTIVE
California Institute of Technology (CalTech)	https://arpa-e.energy.gov/?q=slick-sheet-project/micro-optical-tandem-luminescent-solar-concentrator	Micro-Optical Tandem Luminescent Solar Concentrator	Pasadena, CA	$2,999,594	ACTIVE
California Institute of Technology (Caltech) 	https://arpa-e.energy.gov/?q=slick-sheet-project/heating-and-compression-mechanisms-fusion	Heating and Compression Mechanisms for Fusion	Pasadena, CA	$800,000	ACTIVE
California Institute of Technology (CalTech)	https://arpa-e.energy.gov/?q=slick-sheet-project/improving-solar-generation-efficiency-solar-modules	Improving Solar Generation Efficiency with Solar Modules	Pasadena, CA	$2,400,000	ALUMNI
California Institute of Technology (Caltech)	https://arpa-e.energy.gov/?q=slick-sheet-project/scalable-distributed-automation-system	Scalable Distributed Automation System	Pasadena, CA	$1,350,000	ALUMNI
Calysta Energy	https://arpa-e.energy.gov/?q=slick-sheet-project/bioreactor-designs-rapid-fermentation	Bioreactor Designs for Rapid Fermentation	Menlo Park, CA	$797,646	ALUMNI
Carnegie Mellon University (CMU)	https://arpa-e.energy.gov/?q=slick-sheet-project/magnet-technology-power-converters	Magnet Technology for Power Converters	Pittsburgh, PA	$1,741,575	ALUMNI
Case Western Reserve University	https://arpa-e.energy.gov/?q=slick-sheet-project/titanium-alloy-power-capacitor	Titanium-Alloy Power Capacitor	Cleveland, OH	$2,254,017	ALUMNI
Case Western Reserve University	https://arpa-e.energy.gov/?q=slick-sheet-project/segmented-cell-electrowinning-titanium	Segmented Cell for Electrowinning Titanium	Cleveland, OH	$1,873,471	ALUMNI
Case Western Reserve University	https://arpa-e.energy.gov/?q=slick-sheet-project/all-iron-flow-battery	All-Iron Flow Battery	Cleveland, OH	$3,247,909	ACTIVE
Case Western Reserve University	https://arpa-e.energy.gov/?q=slick-sheet-project/virtual-building-energy-audits	Virtual Building Energy Audits	Cleveland, OH	$1,433,281	ACTIVE
Case Western Reserve University	https://arpa-e.energy.gov/?q=slick-sheet-project/iron-nitride-alloy-magnets	Iron-Nitride Alloy Magnets	Cleveland, OH	$1,850,000	ALUMNI
Center for Power Electronics Systems (CPES) at Virginia Tech	https://arpa-e.energy.gov/?q=slick-sheet-project/voltage-regulator-chip	Voltage Regulator Chip	Blacksburg, VA	$1,650,000	ALUMNI
Center for Power Electronics Systems (CPES) at Virginia Tech	https://arpa-e.energy.gov/?q=slick-sheet-project/integrated-power-adapter	Integrated Power Adapter	Blacksburg, VA	$1,000,000	ALUMNI
Ceramatec	https://arpa-e.energy.gov/?q=slick-sheet-project/efficient-ammonia-production	Efficient Ammonia Production	Salt Lake City, UT	$2,349,995	ACTIVE
Ceramatec	https://arpa-e.energy.gov/?q=slick-sheet-project/one-step-gas-liquid-chemical-converter	A One-Step, Gas-to-Liquid Chemical Converter	Salt Lake City, UT	$1,734,665	ALUMNI
Ceramatec	https://arpa-e.energy.gov/?q=slick-sheet-project/advanced-lithium-sulfur-batteries	Advanced Lithium-Sulfur Batteries	Salt Lake City, UT	$2,966,690	ALUMNI
Ceramatec	https://arpa-e.energy.gov/?q=slick-sheet-project/mid-temperature-fuel-cells-vehicles	Mid-Temperature Fuel Cells for Vehicles	Salt Lake City, UT	$2,113,985	ALUMNI
Ceres	https://arpa-e.energy.gov/?q=slick-sheet-project/improving-biomass-yields	Improving Biomass Yields	Thousand Oaks, CA	$5,089,144	ALUMNI
Chromatin	https://arpa-e.energy.gov/?q=slick-sheet-project/biofuels-sorghum	Biofuels from Sorghum	Chicago, IL	$7,317,589	CANCELLED
Citrine Informatics	https://arpa-e.energy.gov/?q=slick-sheet-project/machine-learning-solid-ion-conductors	Machine Learning for Solid Ion Conductors	Redwood City, CA	$499,023	ALUMNI
City University of New York (CUNY) Energy Institute	https://arpa-e.energy.gov/?q=slick-sheet-project/flow-assisted-alkaline-battery	Flow-Assisted Alkaline Battery	New York, NY	$3,497,133	ALUMNI
City University of New York (CUNY) Energy Institute	https://arpa-e.energy.gov/?q=slick-sheet-project/metacapacitors-led-lighting	Metacapacitors for LED Lighting	New York, NY	$1,568,278	ALUMNI
Clemson University (Clemson) 	https://arpa-e.energy.gov/?q=slick-sheet-project/breeding-high-yielding-bioenergy-sorghum	Breeding High Yielding Bioenergy Sorghum	Clemson, SC	$6,149,998	ACTIVE
Codexis	https://arpa-e.energy.gov/?q=slick-sheet-project/better-enzymes-carbon-capture	Better Enzymes for Carbon Capture	Redwood City, CA	$4,657,045	ALUMNI
Cogenra Solar	https://arpa-e.energy.gov/?q=slick-sheet-project/hybrid-solar-converter-light-filtering-mirror	Hybrid Solar Converter with Light-Filtering Mirror	Mountain View, CA	$2,195,740	ALUMNI
Colorado School of Mines	https://arpa-e.energy.gov/?q=slick-sheet-project/hybrid-polyoxometalate-membranes	Hybrid Polyoxometalate Membranes	Golden, CO	$1,564,384	ACTIVE
Colorado School of Mines	https://arpa-e.energy.gov/?q=slick-sheet-project/thermoelectric-materials-discovery	Thermoelectric Materials Discovery	Golden, CO	$500,000	ACTIVE
Colorado School of Mines	https://arpa-e.energy.gov/?q=slick-sheet-project/ammonia-synthesis-membrane-reactor	Ammonia Synthesis Membrane Reactor	Golden, CO	$500,000	ACTIVE
Colorado School of Mines (Mines)	https://arpa-e.energy.gov/?q=slick-sheet-project/fuel-flexible-protonic-ceramic-fuel-cell-stack	Fuel-Flexible Protonic Ceramic Fuel Cell Stack	Golden, CO	$999,999	ACTIVE
Colorado State University	https://arpa-e.energy.gov/?q=slick-sheet-project/monitor-field-test-site	MONITOR Field Test Site	Fort Collins, CO	$3,921,640	ACTIVE
Colorado State University (CSU)	https://arpa-e.energy.gov/?q=slick-sheet-project/more-options-bioenergy-crops	More Options for Bioenergy Crops	Fort Collins, CO	$1,577,000	ALUMNI
Colorado State University (CSU) 	https://arpa-e.energy.gov/?q=slick-sheet-project/ultra-efficient-turbo-compression-cooling	Ultra-Efficient Turbo-Compression Cooling	Fort Collins, CO	$2,087,586	ACTIVE
Columbia University	https://arpa-e.energy.gov/?q=slick-sheet-project/biofuels-bacteria-electricity-and-co2	Biofuels from Bacteria, Electricity, and CO2	New York, NY	$1,519,976	ALUMNI
Columbia University	https://arpa-e.energy.gov/?q=slick-sheet-project/computing-through-silicon-photonics	Computing Through Silicon Photonics	New York, NY	$500,000	ALUMNI
Columbia University	https://arpa-e.energy.gov/?q=slick-sheet-project/chemically-accelerated-carbon-mineralization	Chemically Accelerated Carbon Mineralization	New York, NY	$1,266,675	ALUMNI
Columbia University 	https://arpa-e.energy.gov/?q=slick-sheet-project/integrated-power-adapter-0	Integrated Power Adapter	New York, NY	$500,000	ACTIVE
Columbia University	https://arpa-e.energy.gov/?q=slick-sheet-project/co-generation-fuels-during-copper-bioleaching	Co-Generation of Fuels During Copper Bioleaching	New York, NY	$497,263	ALUMNI
Columbia University	https://arpa-e.energy.gov/?q=slick-sheet-project/spalling-gan-transistors	Spalling GaN Transistors	New York, NY	$3,000,000	ACTIVE
Cornell University	https://arpa-e.energy.gov/?q=slick-sheet-project/thermoregulatory-clothing-system	Thermoregulatory Clothing System	Ithaca, NY	$2,996,807	ACTIVE
Cornell University	https://arpa-e.energy.gov/?q=slick-sheet-project/cloud-computing-grid	Cloud Computing for the Grid	Ithaca, NY	$1,300,000	ALUMNI
Cornell University	https://arpa-e.energy.gov/?q=slick-sheet-project/gan-power-transistor	GaN Power Transistor	Ithaca, NY	$3,435,498	ACTIVE
Cornell University	https://arpa-e.energy.gov/?q=slick-sheet-project/efficient-photobioreactor-algae-based-fuel	Efficient Photobioreactor for Algae-Based Fuel	Ithaca, NY	$910,000	ALUMNI
Cornell University	https://arpa-e.energy.gov/?q=slick-sheet-project/secondary-lithium-metal-batteries	Secondary Lithium Metal Batteries	Ithaca, NY	$499,999	ACTIVE
Coskata	https://arpa-e.energy.gov/?q=slick-sheet-project/methanol-fermentation-clostridium-bacteria	Methanol Fermentation in Clostridium Bacteria	Warrenville, IL	$941,726	CANCELLED
Cree	https://arpa-e.energy.gov/?q=slick-sheet-project/utility-scale-silicon-carbide-power-transistors	Utility-Scale Silicon Carbide Power Transistors	Durham, NC	$6,000,003	ALUMNI
Cree	https://arpa-e.energy.gov/?q=slick-sheet-project/utility-scale-solar-power-converter	Utility-Scale Solar Power Converter	Durham, NC	$3,000,613	ACTIVE
Cree Fayetteville, Inc.	https://arpa-e.energy.gov/?q=slick-sheet-project/more-information-crees-project-coming-soon	More information on Cree's project is coming soon!	Fayetteville, AR	$498,272	ACTIVE
Cummins Corporate Research & Technology	https://arpa-e.energy.gov/?q=slick-sheet-project/high-efficiency-engines	High-Efficiency Engines	Columbus, IN	$2,073,235	ACTIVE
Dais Analytic Corporation	https://arpa-e.energy.gov/?q=slick-sheet-project/dehumidifying-air-cooling-refrigeration	Dehumidifying Air for Cooling & Refrigeration	Odessa, FL	$681,322	ALUMNI
Danforth Center	https://arpa-e.energy.gov/?q=slick-sheet-project/improved-light-utilization-camelina	Improved Light Utilization in Camelina	St. Louis, MO	$7,078,896	ALUMNI
Dartmouth College	https://arpa-e.energy.gov/?q=slick-sheet-project/manganese-aluminum-based-magnets	Manganese-Aluminum-Based Magnets	Hanover, NH	$397,433	ALUMNI
Delphi Automotive	https://arpa-e.energy.gov/?q=slick-sheet-project/more-efficient-power-conversion-evs	More Efficient Power Conversion for EVs	Troy, MI	$7,044,569	ALUMNI
Det Norske Veritas (DNV GL)	https://arpa-e.energy.gov/?q=slick-sheet-project/grid-energy-storage-valuation-0	Grid Energy Storage Valuation	Katy, TX	$3,198,779	ACTIVE
Det Norske Veritas (DNV KEMA)	https://arpa-e.energy.gov/?q=slick-sheet-project/gas-based-battery-monitoring-system	Gas-Based Battery Monitoring System	Katy, TX	$2,030,962	ALUMNI
Dioxide Materials	https://arpa-e.energy.gov/?q=slick-sheet-project/converting-co2-fuel-and-chemicals	Converting CO2 into Fuel and Chemicals	Champaign, IL	$4,877,239	ALUMNI
Dioxide Materials	https://arpa-e.energy.gov/?q=slick-sheet-project/high-efficiency-hydrogen-production-0	High-Efficiency Hydrogen Production	Champaign, IL	$2,000,000	ACTIVE
DNV GL	https://arpa-e.energy.gov/?q=slick-sheet-project/internet-energy-optimized-distributed-energy-resources	Internet of Energy for Optimized Distributed Energy Resources	Burlington, MA	$2,149,963	ACTIVE
Donald Danforth Plant Science Center (Danforth Center) 	https://arpa-e.energy.gov/?q=slick-sheet-project/reference-phenotyping-system-energy-sorghum	A Reference Phenotyping System for Energy Sorghum	St. Louis, MO	$8,151,684	ACTIVE
Duke University (Duke) 	https://arpa-e.energy.gov/?q=slick-sheet-project/advanced-spectrometer-methane-detection	Advanced Spectrometer for Methane Detection	Durham, NC	$3,223,669	ACTIVE
EaglePicher Technologies	https://arpa-e.energy.gov/?q=slick-sheet-project/sodium-beta-batteries-grid-scale-storage	Sodium-Beta Batteries for Grid-Scale Storage	Joplin, MO	$10,200,000	CANCELLED
Eaton Corporation	https://arpa-e.energy.gov/?q=slick-sheet-project/advanced-battery-management-hybrid-vehicles	Advanced Battery Management for Hybrid Vehicles	Cleveland , OH	$2,000,000	ALUMNI
Eaton Corporation	https://arpa-e.energy.gov/?q=slick-sheet-project/liquid-piston-isothermal-home-natural-gas-compressor	Liquid-Piston Isothermal Home Natural Gas Compressor	Cleveland , OH	$3,400,000	ALUMNI
Eaton Corporation 	https://arpa-e.energy.gov/?q=slick-sheet-project/cloud-based-der-control	Cloud-Based DER Control	Cleveland , OH	$3,022,883	ACTIVE
Eclipse Energy Systems, Inc.	https://arpa-e.energy.gov/?q=slick-sheet-project/eclipse-shield	Eclipse Shield	Saint Petersburg, FL	$1,249,785	ACTIVE
Electric Power Research Institute (EPRI)	https://arpa-e.energy.gov/?q=slick-sheet-project/enhanced-air-cooled-heat-exchanger	Enhanced Air-Cooled Heat Exchanger	Palo Alto, CA	$3,000,000	ACTIVE
Electron Energy Corporation (EEC)	https://arpa-e.energy.gov/?q=slick-sheet-project/new-processing-technology-permanent-magnets	New Processing Technology for Permanent Magnets	Landisville, PA	$2,903,999	ALUMNI
Energy Research Company (ERCo)	https://arpa-e.energy.gov/?q=slick-sheet-project/integrated-minimill-produce-aluminum-scrap	Integrated Minimill to Produce Aluminum from Scrap	Plainfield, NJ	$3,815,131	ACTIVE
Energy Storage Systems (ESS)	https://arpa-e.energy.gov/?q=slick-sheet-project/iron-flow-battery	Iron Flow Battery	Portland, OR	$2,825,689	ACTIVE
eNova	https://arpa-e.energy.gov/?q=slick-sheet-project/waste-heat-powered-gas-compressor	Waste Heat-Powered Gas Compressor	Kingwood, TX	$640,000	ALUMNI
Envia Systems	https://arpa-e.energy.gov/?q=slick-sheet-project/long-range-electric-vehicle-batteries	Long-Range Electric Vehicle Batteries	Newark, CA	$3,952,876	ALUMNI
EnZinc	https://arpa-e.energy.gov/?q=slick-sheet-project/rechargeable-long-life-zinc-air-battery	Rechargeable, Long-Life, Zinc-Air Battery	San Anselmo, CA	$452,358	ALUMNI
Exelus	https://arpa-e.energy.gov/?q=slick-sheet-project/high-octane-fuel-refinery-exhaust-gas	High-Octane Fuel from Refinery Exhaust Gas	Fairfield, NJ	$999,999	ALUMNI
Fairfield Crystal Technology	https://arpa-e.energy.gov/?q=slick-sheet-project/gan-crystal-substrates	GaN Crystal Substrates	New Milford, CT	$309,107	ALUMNI
FastCAP Systems	https://arpa-e.energy.gov/?q=slick-sheet-project/high-energy-density-ultracapacitors	High Energy Density Ultracapacitors	Boston, MA	$5,349,932	ALUMNI
FloDesign Wind Turbine	https://arpa-e.energy.gov/?q=slick-sheet-project/mixer-ejector-wind-turbine	Mixer-Ejector Wind Turbine	Waltham, MA	$8,325,400	ALUMNI
Fluidic Energy	https://arpa-e.energy.gov/?q=slick-sheet-project/high-power-zinc-air-energy-storage	High-Power Zinc-Air Energy Storage	Scottsdale, AZ	$2,993,128	ALUMNI
Ford Motor Company	https://arpa-e.energy.gov/?q=slick-sheet-project/low-pressure-material-based-natural-gas-fuel-system	Low Pressure Material-Based Natural Gas Fuel System	Dearborn, MI	$5,050,082	CANCELLED
Ford Motor Company	https://arpa-e.energy.gov/?q=slick-sheet-project/ultra-precise-battery-tester	Ultra-Precise Battery Tester	Dearborn, MI	$3,128,000	ALUMNI
Foro Energy	https://arpa-e.energy.gov/?q=slick-sheet-project/laser-mechanical-drilling-geothermal-energy	Laser-Mechanical Drilling for Geothermal Energy	Littleton, CO	$9,141,030	ALUMNI
FuelCell Energy	https://arpa-e.energy.gov/?q=slick-sheet-project/liquid-fuels-and-electricity-intermediate-temperature-fuel-cells	Liquid Fuels and Electricity from Intermediate-Temperature Fuel Cells	Danbury, CT	$3,500,000	CANCELLED
FuelCell Energy, Inc.	https://arpa-e.energy.gov/?q=slick-sheet-project/more-information-fuelcell-energys-project-coming-soon	More information on FuelCell Energy's project is coming soon!	Danbury, CT	$3,100,000	ACTIVE
Gas Technology Institute (GTI)	https://arpa-e.energy.gov/?q=slick-sheet-project/low-pressure-conformable-natural-gas-vehicle-tank	Low-Pressure Conformable Natural Gas Vehicle Tank	Des Plaines, IL	$1,499,999	ALUMNI
Gas Technology Institute (GTI)	https://arpa-e.energy.gov/?q=slick-sheet-project/adsorbent-materials-natural-gas-storage	Adsorbent Materials for Natural Gas Storage	Des Plaines, IL	$874,999	ALUMNI
Gas Technology Institute (GTI)	https://arpa-e.energy.gov/?q=slick-sheet-project/more-information-gtis-project-coming-soon	More information on GTI's project is coming soon!	Des Plaines, IL	$2,300,000	ACTIVE
Gas Technology Institute (GTI)	https://arpa-e.energy.gov/?q=slick-sheet-project/double-reflector-hybrid-solar-energy-system	Double-Reflector Hybrid Solar Energy System	Des Plaines, IL	$3,969,400	ACTIVE
Gas Technology Institute (GTI)	https://arpa-e.energy.gov/?q=slick-sheet-project/membrane-extraction-aluminum-production	Membrane Extraction for Aluminum Production	Des Plaines, IL	$807,426	ALUMNI
